Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Guyana,South America,786936.0,538,22.0,189.0,327.0,27.694136204166664,684.0,28.0,5165.0,6563.0
Tanzania,Africa,7241599.935185998,509,21.0,183.0,305.0,28.590305992532766,8.0,0.4,131234.44575338412,33044.1951465764
Taiwan,Asia,23821199.0,477,7.0,443.0,27.0,29.200142513583323,20.0,0.3,82737.0,3473.0
Comoros,Africa,871326.0,396,7.0,340.0,49.0,29.200142513583323,454.0,8.0,131234.44575338412,33044.1951465764
Burundi,Africa,11922216.0,395,1.0,304.0,90.0,29.200142513583323,33.0,0.08,15614.0,1310.0
Myanmar,Asia,7241599.935185998,357,6.0,308.0,43.0,29.200142513583323,7.0,0.1,122290.0,2246.0
Mauritius,Africa,1271985.0,344,10.0,334.0,0.0,29.200142513583323,270.0,8.0,205285.0,37174.66849640472
Isle of Man,Europe,85078.0,336,24.0,312.0,0.0,29.200142513583323,3949.0,42.45018404907975,8627.0,101401.0
Mongolia,Asia,3283344.0,293,3792.590425531915,260.0,33.0,27.694136204166664,89.0,26.96968222941251,38334.0,11675.0
Eritrea,Africa,3551175.0,282,3792.590425531915,225.0,57.0,29.200142513583323,79.0,26.96968222941251,131234.44575338412,33044.1951465764
Guadeloupe,North America,400131.0,279,14.0,179.0,86.0,29.200142513583323,697.0,35.0,18476.0,46175.0
Martinique,North America,375235.0,276,15.0,98.0,163.0,27.694136204166664,736.0,40.0,12227.0,32585.0
Faeroe Islands,Europe,48882.0,266,3792.590425531915,192.0,74.0,27.694136204166664,1254.751627225775,26.96968222941251,43045.0,48010.90395480226
Aruba,North America,106812.0,263,3.0,114.0,146.0,29.200142513583323,2462.0,28.0,14047.0,33855.74284137664
Cambodia,Asia,16741375.0,243,3792.590425531915,210.0,33.0,27.694136204166664,15.0,26.96968222941251,67807.0,4050.0
Trinidad and Tobago,North America,1399950.0,210,8.0,135.0,67.0,29.200142513583323,150.0,6.0,9559.0,6828.0
Cayman Islands,North America,65798.0,203,1.0,202.0,0.0,29.200142513583323,3085.0,15.0,31108.0,48010.90395480226
Gibraltar,Europe,33690.0,190,3792.590425531915,184.0,6.0,29.200142513583323,1254.751627225775,26.96968222941251,23063.0,48010.90395480226
Papua New Guinea,Australia/Oceania,8963009.0,163,3.0,53.0,107.0,29.200142513583323,18.0,0.3,10808.0,1206.0
Sint Maarten,North America,42924.0,160,16.0,64.0,80.0,27.694136204166664,3728.0,42.45018404907975,1115.0,25976.0
Bermuda,North America,62254.0,157,9.0,144.0,4.0,29.200142513583323,2522.0,29.07209714306458,26352.0,48010.90395480226
Brunei ,Asia,437893.0,141,3.0,138.0,0.0,29.200142513583323,322.0,7.0,41148.0,93968.0
Barbados,North America,287411.0,133,7.0,100.0,26.0,29.200142513583323,463.0,24.0,12233.0,42563.0
Turks and Caicos,North America,38768.0,129,2.0,39.0,88.0,27.694136204166664,3327.0,52.0,1252.0,32295.0
Seychelles,Africa,98408.0,126,3792.590425531915,124.0,2.0,29.200142513583323,1280.0,26.96968222941251,131234.44575338412,33044.1951465764
Monaco,Europe,39270.0,125,4.0,105.0,16.0,27.694136204166664,3183.0,26.96968222941251,38209.0,48010.90395480226
Bhutan,Asia,772443.0,105,3792.590425531915,93.0,12.0,29.200142513583323,136.0,26.96968222941251,54589.0,70671.0
Antigua and Barbuda,North America,98010.0,92,3.0,76.0,13.0,27.694136204166664,939.0,31.0,1500.0,15305.0
Liechtenstein,Europe,38139.0,89,1.0,85.0,3.0,29.200142513583323,2334.0,26.0,900.0,23598.0
Belize,North America,398312.0,86,2.0,31.0,53.0,27.694136204166664,216.0,5.0,3679.0,9236.0
French Polynesia,Australia/Oceania,281072.0,64,3792.590425531915,62.0,2.0,29.200142513583323,228.0,26.96968222941251,5849.0,20810.0
St. Vincent Grenadines,North America,110976.0,56,3792.590425531915,46.0,10.0,29.200142513583323,505.0,26.96968222941251,2447.0,22050.0
